"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3361T3.A,IP.G3361T3.A,,,,,,,,,,,,,37.1298,42.4448,36.4923,31.8228,40.6054,46.1777,48.1645,44.0407,32.4320,31.5740,28.4649,36.3373,43.5225,45.2026,45.1861,46.8720,50.0755,49.5412,46.5806,44.5426,50.7198,56.0282,64.3660,66.2520,66.7852,72.0659,75.8401,84.0085,83.5866,76.3787,84.0266,87.0506,87.4778,88.0054,86.6638,85.9920,68.8118,50.4323,66.9319,73.1649,80.9095,86.7712,94.7162,99.6978,100.9521,100.0000,104.1418,102.3244,88.0797,94.3756,101.6928
"Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3364T9.A,IP.G3364T9.A,,,,,,,,,,,,,51.2229,58.3707,59.3424,56.3554,52.7496,53.1859,58.6364,68.2718,73.4796,69.9038,65.4615,62.5381,66.7077,71.2799,74.9964,77.7582,81.8115,86.7520,87.0658,84.0067,77.7214,72.4515,65.0401,61.8000,64.2135,71.6611,83.0597,79.9374,70.1548,74.5848,70.6171,67.4593,66.4464,73.9904,78.5687,92.2645,94.0426,85.6335,86.7520,86.6458,95.7760,98.5958,102.2473,102.3248,95.3035,100.0000,99.7763,91.3289,75.6378,80.5186,85.5751
"Wood product  (NAICS = 321); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G321.A,IP.G321.A,,,,,,,,,,,,,84.5230,81.8738,74.3340,68.5349,77.1747,83.2048,84.2699,81.2442,75.2950,73.5939,66.0886,76.5317,82.0020,82.8748,90.0265,97.9856,97.8180,96.2510,95.0905,88.9410,93.9670,95.0197,100.7389,103.2257,106.5758,109.4487,114.2692,118.4831,116.9109,109.6032,114.2769,114.0943,117.0491,124.8498,125.8689,117.7335,100.5794,76.8476,79.5841,79.7473,84.5582,89.4438,91.6376,95.2918,98.8585,100.0000,100.3813,95.6242,95.8826,99.0425,100.0643
"Sawmills and wood preservation  (NAICS = 3211); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3211.A,IP.N3211.A,,,,,,,,,,,,,80.0737,76.2394,74.9313,69.6263,78.7060,81.3755,80.8639,82.2414,80.9472,76.4625,67.8601,74.7036,80.6250,82.1815,93.4506,101.5755,102.5928,98.3640,96.8965,91.3288,94.0632,89.3613,94.6237,97.1497,99.0727,103.0750,102.4924,106.8725,106.2740,100.5347,101.4422,103.4830,101.9803,109.7892,111.9055,101.4257,91.7692,79.2075,83.4756,82.5557,85.4572,87.3639,86.6488,92.2924,96.3461,100.0000,100.8885,94.3078,97.1804,96.6881,97.4224
"Plywood and misc. wood products  (NAICS = 3212,9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3212A9.A,IP.G3212A9.A,,,,,,,,,,,,,86.7494,84.7858,73.5438,67.5238,75.8837,83.6749,85.6115,80.1169,71.8072,71.3832,64.4312,76.2043,81.3985,81.9695,87.2677,95.0413,94.3668,93.9631,92.9453,86.6606,92.5313,96.0690,101.9031,104.3383,108.2221,110.5827,117.4337,121.5465,119.6438,111.8661,117.7333,116.8236,121.3401,129.0420,129.6678,122.3451,102.9291,75.9610,78.1866,78.7413,84.2152,90.1723,93.5539,96.4111,99.7988,100.0000,100.1860,96.0763,95.3475,100.2147,101.3785
"Veneer, plywood, and engineered wood product  (NAICS = 3212); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3212.A,IP.G3212.A,,,,,,,,,,,,,69.0655,66.1591,61.8090,59.3209,67.0973,71.1814,75.1403,66.3386,60.5088,60.4174,56.8569,67.8558,73.3274,75.4925,81.2218,90.0396,89.9215,90.2727,87.5077,81.6339,93.0192,94.8152,101.8917,102.0633,104.2836,105.9084,114.5061,116.7270,120.2412,114.5565,120.4071,118.8888,119.0440,128.4360,129.7100,118.4847,96.0286,68.6514,71.3286,72.8220,81.6815,88.0490,91.1496,92.5757,96.9239,100.0000,93.6749,91.8416,85.6290,86.2017,84.6817
"Veneer and plywood  (NAICS = 321211,2); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G321211A2.A,IP.G321211A2.A,,,,,,,,,,,,,161.3494,147.9855,138.8835,134.6559,153.1668,160.7135,164.9097,134.6693,125.0009,125.7080,115.1312,134.8975,140.6743,143.2405,153.2006,163.6685,160.3402,154.8377,148.2943,135.3610,138.4448,137.4228,139.7994,141.2316,136.4361,131.6102,134.9593,129.8799,140.3060,128.8550,128.8296,127.5963,127.0803,135.1473,134.4625,121.4036,104.9886,81.5081,88.2549,93.4681,101.8216,107.6383,106.1030,105.7881,101.2838,100.0000,90.2500,84.2541,84.9766,84.4886,78.9554
"Reconstituted wood product  (NAICS = 321219); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G321219.A,IP.G321219.A,,,,,,,,,,,,,30.0959,31.9211,31.8775,27.1697,27.7847,30.3241,33.7613,37.6444,34.8946,36.5902,35.5524,42.0124,47.9092,50.6039,53.8770,60.7416,61.7498,65.1138,66.0024,65.3822,82.7055,87.4495,92.3658,89.3837,93.3670,101.3199,107.2640,113.2317,112.1552,104.8424,113.4421,101.8998,99.7752,109.6998,112.7965,110.9692,97.1800,77.1203,79.7807,79.0139,85.6539,93.2080,90.8891,92.0250,96.0457,100.0000,93.1050,84.5085,77.0119,76.5063,73.3935
"Other wood product  (NAICS = 3219); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3219.A,IP.G3219.A,,,,,,,,,,,,,95.7891,94.4710,79.2801,71.4331,80.0419,89.9352,90.5917,87.1361,77.5169,76.9244,68.3496,80.5507,85.6186,85.3901,90.4717,97.7057,96.7479,95.9593,95.8074,89.3094,92.5098,96.9986,102.1580,105.8238,110.5461,113.2547,119.3480,124.3656,119.9421,111.2449,117.1435,116.4966,123.1213,130.0232,130.3544,124.5458,106.0815,79.0595,81.1138,81.3013,85.3983,91.1646,94.6844,98.1481,101.1230,100.0000,103.3767,98.2607,100.0711,107.5078,110.5164
"Millwork  (NAICS = 32191); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G32191.A,IP.G32191.A,,,,,,,,,,,,,75.5060,74.8572,63.1796,61.9596,69.3803,75.4766,73.9341,72.7984,66.4587,66.0096,56.9694,68.9391,76.8142,79.0257,88.2549,99.3547,97.9801,96.3202,94.2854,87.0653,90.4392,92.2725,96.0429,95.5764,100.0417,99.9262,104.8998,113.6172,119.0962,114.3625,118.9487,124.6418,132.7233,140.4409,146.2134,137.5671,114.6640,82.8372,84.9479,83.3519,90.5999,98.6597,102.3434,102.2641,101.5943,100.0000,101.6903,98.3418,101.9607,105.8563,109.5997
"Wood container and pallet  (NAICS = 32192); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N32192.A,IP.N32192.A,,,,,,,,,,,,,37.1953,35.8335,38.9332,36.7268,38.6206,39.5961,42.2487,40.8309,42.5574,41.3980,43.3163,44.3486,49.7857,48.0873,47.3333,47.2240,50.7999,54.7882,57.9156,57.0914,54.3135,52.4885,56.9152,61.4615,63.2342,65.3356,66.7217,69.1190,70.8790,66.1250,72.5196,69.6176,72.9017,76.2772,81.7725,92.9804,89.9471,73.7406,75.0844,77.6094,80.3905,81.3903,88.0926,98.6113,98.8476,100.0000,98.8615,96.7001,92.6392,100.9175,98.4865
"All other wood product  (NAICS = 32199); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G32199.A,IP.G32199.A,,,,,,,,,,,,,168.6224,166.4497,130.0784,107.3907,122.6360,145.2255,148.0883,139.1343,115.8444,115.4902,100.8806,120.1358,119.5172,115.9258,117.2267,121.8794,118.8024,116.5095,117.4903,108.9115,115.6447,129.2362,136.9824,146.9975,153.9332,161.5403,172.2717,173.0511,149.4950,132.4282,139.8751,131.2233,137.6086,145.3485,135.1563,123.3978,102.4050,76.2036,78.6088,80.1687,79.9175,85.0880,86.1681,90.8364,101.6374,100.0000,109.1404,99.0454,101.7444,114.8617,120.4419
"Manufactured home (mobile home)  (NAICS = 321991); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N321991.A,IP.N321991.A,,,,,,,,,,,,,425.7739,419.1094,286.1288,214.6930,251.5594,284.6254,310.6940,307.4922,243.7533,265.3243,232.4170,311.3011,283.2534,280.0310,266.6117,255.1464,250.8956,234.4084,231.1082,211.2978,237.7560,293.7884,325.8248,360.2483,388.7343,427.9044,462.8521,445.1251,337.7567,280.8827,259.5900,224.5930,226.6857,238.9758,213.4025,188.5766,148.4857,94.0055,89.8302,87.5369,93.6554,101.8840,94.7498,100.1243,123.7150,100.0000,107.2022,89.1666,95.7003,91.0247,96.4865
"Nonmetallic mineral product  (NAICS = 327); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G327.A,IP.G327.A,,,,,,,,,,,,,85.6157,91.9010,90.8726,81.3682,85.8857,91.4289,97.4650,97.2906,87.7332,84.0249,74.3656,79.9470,86.3093,87.8870,91.4917,96.5429,98.5299,97.6980,96.2081,88.6013,92.4624,94.4253,99.7565,102.6877,109.3377,113.0096,118.7280,119.7914,119.8666,115.3926,115.4599,116.5362,120.0813,125.1757,127.4787,126.0876,111.4337,83.9597,86.5584,87.9666,90.2795,94.9494,98.4703,99.1567,100.5060,100.0000,100.3671,100.7927,97.3257,100.5218,108.8813
"Clay, lime, gypsum, and misc. nonmetallic mineral products  (NAICS = 3271,4,9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A4A9.A,IP.G3271A4A9.A,,,,,,,,,,,,,77.1662,85.8483,90.8800,78.5746,85.4182,91.5404,97.9145,99.7311,88.2334,83.3405,70.1773,77.5651,87.4738,89.4629,92.1450,94.3216,97.9244,95.0155,92.9999,85.6776,91.2695,92.6320,98.4644,101.1604,107.3791,109.8057,113.0155,110.5090,108.2959,100.6753,101.6403,103.0181,106.9547,112.7309,113.6393,113.6118,105.0164,81.2743,89.2961,90.6760,90.5074,97.4573,101.6663,97.6637,97.8107,100.0000,96.6768,102.5395,95.9008,104.0252,119.6906
"Clay and misc. nonmetallic mineral products  (NAICS = 3271,9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A9.A,IP.G3271A9.A,,,,,,,,,,,,,77.3212,86.6335,93.2128,80.3341,87.2059,93.1829,99.1733,101.1042,89.6620,84.3999,70.4143,77.6903,87.6029,87.6818,90.6998,92.5481,96.6675,93.2769,91.5249,84.5658,89.7696,91.0319,97.5599,100.2641,106.3898,107.5574,108.0256,106.4807,106.3074,97.7184,99.8463,100.5467,104.3567,109.0411,110.7553,112.1060,103.5376,80.4476,89.4201,90.4441,90.1754,97.5696,102.2331,97.2436,97.0345,100.0000,95.9599,103.8667,95.5427,104.2905,122.9741
"Clay product and refractory  (NAICS = 3271); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3271.A,IP.G3271.A,,,,,,,,,,,,,160.8899,175.6821,190.4049,156.3283,161.2752,164.3506,173.3595,178.4982,163.8915,151.8331,120.1672,127.6932,139.6002,135.2249,138.8424,151.1893,155.0385,154.0316,150.7796,137.7786,148.0498,152.5922,164.5382,169.5932,176.6849,173.7786,172.2803,173.5724,172.6701,153.7642,144.5323,141.3168,141.9641,143.1865,138.0353,126.9752,113.6295,83.1668,95.6065,94.3381,96.0068,99.7622,101.3672,96.6207,95.4362,100.0000,101.3472,97.4677,83.5790,99.5563,113.7285
"Pottery, ceramics, and plumbing fixture  (NAICS = 32711); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G32711.A,IP.G32711.A,,,,,,,,,,,,,219.8299,242.2824,259.1910,214.3478,219.2472,219.4708,213.9398,237.1037,226.2290,209.5647,191.1821,200.2340,215.2113,204.8150,195.8676,223.1501,226.1914,225.0225,220.4692,208.7426,230.4176,238.5385,260.4159,267.2163,283.4408,273.1365,279.2202,268.1729,270.9586,223.7853,201.6937,188.5993,184.0329,180.7518,168.2119,137.7580,114.8000,95.6250,112.6704,100.5345,102.7172,103.3788,103.0691,100.2120,96.0447,100.0000,106.6892,109.0131,92.3704,109.6118,127.6878
"Clay building material and refractories  (NAICS = 32712); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G32712.A,IP.G32712.A,,,,,,,,,,,,,138.0809,149.8614,163.8373,133.8574,138.8942,143.2488,158.9015,156.1255,139.5456,129.2833,91.3519,98.3490,109.0900,107.1625,115.6564,121.9504,126.1917,125.2426,122.5115,108.6449,113.9537,116.9803,124.7115,129.0804,132.2601,132.5440,127.7264,134.3440,131.8429,124.9657,121.1026,121.9846,124.7890,127.8729,125.7658,122.2023,112.3782,77.8296,88.3670,91.5711,93.0086,98.1744,100.6110,95.0437,95.1672,100.0000,98.9577,92.2897,79.6312,95.0367,107.4337
"Other nonmetallic mineral product  (NAICS = 3279); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3279.A,IP.G3279.A,,,,,,,,,,,,,49.5087,56.9764,60.8527,54.9328,62.2937,69.0905,74.0305,74.8951,64.5993,61.5925,53.4729,60.5852,69.7911,71.4164,74.2496,72.3439,76.5649,72.3429,71.1112,66.2470,69.6933,69.7921,74.4429,76.3351,82.1390,84.7276,85.8757,83.3407,83.4246,78.5007,84.7113,86.7529,91.6433,97.5372,101.6509,107.3134,100.3335,79.6550,87.4453,89.2452,88.3522,96.8912,102.5317,97.4624,97.5738,100.0000,94.1120,106.0834,99.6631,105.9915,126.2007
"Lime and gypsum product  (NAICS = 3274); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3274.A,IP.G3274.A,,,,,,,,,,,,,75.5981,80.3273,75.8994,67.2308,73.8837,80.8885,89.2273,90.4436,78.9231,76.2326,68.3545,76.4186,86.2538,98.0655,99.0475,102.9666,103.2647,103.7676,99.9082,90.0907,98.6799,100.8274,100.9033,103.4330,110.0404,120.0671,137.9790,130.7883,118.5824,116.9921,109.8255,115.5459,120.1613,131.3195,128.9558,122.7879,114.0435,86.2415,88.4036,92.0986,92.5520,96.9792,98.8410,99.7298,101.6976,100.0000,100.0166,96.2577,98.0838,103.1352,104.6588
"Glass and glass product  (NAICS = 3272); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3272.A,IP.G3272.A,,,,,,,,,,,,,85.5868,92.3926,86.9199,81.8862,89.5655,92.1515,97.2373,93.5672,88.2543,88.4072,80.2558,82.8079,83.9153,83.8723,85.8916,91.7524,93.4378,93.9737,94.2720,90.3188,96.0653,98.4241,103.3713,103.0848,109.9693,116.2998,118.6253,120.5607,122.1124,114.0300,111.0831,109.4786,112.1623,113.0589,113.4759,109.3792,106.1780,90.8301,93.0276,98.0211,101.1627,103.2088,102.2161,103.7416,102.5983,100.0000,102.4987,99.8490,92.3611,88.2549,86.7663
"Glass container  (NAICS = 327213); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G327213.A,IP.G327213.A,,,,,,,,,,,,,229.5805,240.3045,231.9065,246.2217,247.3270,245.3464,244.4524,235.0654,223.9875,217.3897,213.8201,199.9580,176.3450,171.3056,166.7176,173.1905,173.7270,171.8520,170.7366,158.0145,161.4115,150.3687,149.5971,138.1718,135.6104,134.7934,138.6880,137.6724,132.8117,126.7951,131.3538,128.3337,122.3720,117.9932,119.4653,122.5982,122.1817,117.6655,108.7237,109.9589,107.4759,111.9760,104.8353,106.7541,105.1238,100.0000,92.6076,91.3300,82.7292,80.6786,81.8638
"Cement and concrete product  (NAICS = 3273); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3273.A,IP.G3273.A,,,,,,,,,,,,,90.1632,93.5707,90.7800,80.5291,80.2963,87.5015,93.7859,94.5559,83.8817,78.4525,71.1592,77.2724,84.1803,86.6108,92.3739,99.4496,100.0289,100.1235,97.6828,86.9659,87.4193,89.5618,94.5389,100.2082,106.8531,109.5839,119.8794,123.7076,124.9326,125.7051,126.8788,129.2762,132.8636,139.4713,143.8482,142.6459,118.2155,82.3810,80.9323,80.5175,84.5343,88.5379,93.7493,98.0065,101.6030,100.0000,102.1923,99.9602,100.8070,103.7604,111.0534
"Cement  (NAICS = 32731); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N32731.A,IP.N32731.A,,,,,,,,,,,,,136.9844,143.0818,145.6572,122.4516,123.2470,131.8938,142.6822,143.8266,129.0294,114.8797,105.4146,107.7948,118.0784,117.4804,116.9566,124.6580,122.2789,120.5107,122.4068,106.3974,111.3560,108.2407,118.3139,125.1081,127.3090,137.4330,140.2923,137.5083,142.0154,147.0856,143.7290,149.4254,162.7980,162.9482,162.3057,151.3936,130.2795,79.5176,79.0232,85.4016,92.7207,101.0072,102.5643,109.1755,109.0651,100.0000,101.0850,100.4434,102.9686,99.0602,98.6133
"Concrete and product  (NAICS = 32732-9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N32732T9.A,IP.N32732T9.A,,,,,,,,,,,,,80.2260,83.0752,79.2652,71.6428,71.2024,78.0958,83.4308,84.1215,74.3361,70.6585,63.8557,70.6337,76.8172,79.8586,86.8478,93.7344,94.8127,95.2152,92.0992,82.4180,82.1202,85.1176,89.1091,94.5132,102.0587,103.1911,115.1168,120.4473,120.9316,120.7714,122.8596,124.5969,126.2092,134.1533,139.6110,140.4459,115.4322,82.6442,81.0284,79.5309,83.0244,86.3398,92.1253,95.9823,100.2208,100.0000,102.4164,99.8587,100.3728,104.6502,113.4083
"Primary metal  (NAICS = 331); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G331.A,IP.G331.A,,,,,,,,,,,,,125.9692,146.6894,150.1914,116.4780,123.6044,125.1233,133.1613,136.1509,119.3134,119.4461,83.8685,86.2908,94.8211,87.3724,85.5094,92.3013,103.1698,100.8262,99.6449,93.5997,96.2599,100.9120,108.4739,109.6828,112.1854,116.9447,118.9345,118.7590,114.6228,103.7672,104.3106,102.3571,111.1839,108.1962,111.2453,113.5425,113.7468,84.6332,103.8349,111.4022,109.1514,112.7442,113.5116,105.6745,100.9956,100.0000,103.1842,97.3317,86.6280,96.0664,94.8814
"Iron and steel products  (NAICS = 3311,2); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2.A,IP.G3311A2.A,,,,,,,,,,,,,129.3128,154.9452,165.5212,122.8442,127.4486,124.5877,133.7662,138.5883,117.4998,121.7766,74.8618,75.4624,83.1483,77.1665,75.3650,85.8238,99.8944,96.3631,95.2222,87.0416,91.1231,96.5344,104.0819,105.7234,108.2505,111.5558,111.3796,111.8876,110.5158,100.3991,101.4009,102.0395,115.5003,107.0163,111.7642,113.6205,120.9180,77.9147,101.6671,110.8755,110.7343,113.0837,112.1933,101.4594,96.7498,100.0000,103.3783,95.2180,87.0690,102.1101,95.7498
"Pig iron  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2Q.A,IP.G3311A2Q.A,,,,,,,,,,,,,356.6840,425.0066,440.7745,336.0555,343.6075,329.6989,348.0243,357.0687,290.2406,299.5007,175.2761,173.4263,182.6080,168.2170,153.3858,178.1447,209.9734,203.5503,197.3579,177.0619,189.2237,192.0744,197.5603,202.5094,198.0520,197.1518,196.8161,187.4498,182.1161,168.9318,158.1180,152.1372,164.7751,148.4572,153.4620,152.3506,164.5115,94.6245,127.0670,142.0729,145.4987,141.5038,133.4266,118.1021,100.8909,100.0000,104.5596,90.0941,79.5032,86.7093,81.7694
"Raw steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2R.A,IP.N3311A2R.A,,,,,,,,,,,,,146.9542,175.8417,190.6074,141.6914,143.5525,146.2472,158.6851,163.7118,141.4993,147.0481,89.4514,85.8168,94.9760,85.6654,81.8290,94.2396,108.9608,102.0903,101.2219,91.3952,95.4782,98.2431,102.2449,106.5251,106.7263,108.4905,111.7997,108.4242,106.8236,97.1803,98.9063,97.9613,110.4546,106.1955,109.9865,112.2627,119.9525,79.5940,105.5133,112.2057,108.7871,109.3115,109.6160,99.4108,95.8419,100.0000,105.8961,97.5301,88.0286,103.8308,93.3441
"Coke and products  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2F.A,IP.G3311A2F.A,,,,,,,,,,,,,460.0308,513.8378,538.6994,450.6867,436.1681,407.8813,366.8991,411.4622,376.3253,333.2896,216.0601,178.2270,206.2916,185.9613,169.6266,188.2895,210.6262,197.5844,192.3563,170.2324,165.6046,162.5207,162.2440,166.1495,163.1606,154.6196,143.9551,142.5110,139.1796,132.8446,116.4853,118.3785,120.8676,118.9788,115.5834,119.5196,134.7094,101.9468,126.4215,130.3398,122.9585,128.6294,123.5263,114.5979,95.7259,100.0000,107.3972,94.8556,86.4272,107.2654,97.4331
"Construction steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2B.A,IP.N3311A2B.A,,,,,,,,,,,,,84.1000,104.8105,118.3405,81.1217,71.9806,69.6862,77.4921,83.6980,72.0199,73.8584,46.3904,46.1311,45.5669,44.4644,43.7973,46.3761,49.3143,51.1427,52.4205,46.5549,49.5910,55.5086,62.7129,62.7801,67.7461,72.9512,76.3807,76.7611,73.9898,79.0700,80.9138,71.9404,80.3733,84.1207,91.4629,94.2491,95.3299,62.0726,84.5027,90.6935,90.2269,102.3109,101.9422,93.3948,99.1498,100.0000,106.0534,100.7329,107.0402,139.7206,135.4914
"Consumer durable steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2C.A,IP.N3311A2C.A,,,,,,,,,,,,,139.5500,172.2530,154.0368,116.1341,152.7489,148.9378,150.6312,135.6327,90.3859,99.2662,63.9634,72.4162,77.0407,73.8443,71.1070,69.7119,80.2934,74.2945,67.0901,59.0834,67.3743,76.1480,89.6382,84.4847,88.8637,89.1035,89.6709,96.6459,88.6381,78.2874,81.3890,74.4945,82.2566,83.5129,89.1166,93.2555,94.9726,61.6092,89.0835,100.6026,101.2274,108.2254,109.2243,108.4918,103.6578,100.0000,93.5478,79.1091,71.8547,98.2588,91.1614
"Can and closure steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2D.A,IP.N3311A2D.A,,,,,,,,,,,,,466.3771,553.2949,632.4563,488.7542,500.6290,468.2917,454.7124,460.4777,400.3651,365.0822,309.7389,290.8171,270.9861,238.7837,244.5459,278.8965,295.9783,285.6815,282.5664,273.0470,250.7419,264.9225,277.1623,250.2049,265.8523,267.8497,248.9970,254.5829,233.2845,208.0568,224.5212,197.0290,193.7738,160.7184,161.8285,196.4445,265.8966,183.4225,243.6021,188.0533,190.1561,178.8678,164.4622,125.1192,108.4176,100.0000,97.5230,77.2338,100.5085,114.8034,89.2120
"Equipment steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2E.A,IP.N3311A2E.A,,,,,,,,,,,,,282.0957,325.3747,368.6119,307.2569,312.0937,322.8726,358.7877,371.9931,349.1714,347.7795,183.5947,142.0774,162.3583,132.7428,116.5389,128.8760,157.1839,143.5907,145.9586,119.3193,121.5921,129.8823,137.7308,143.2869,152.3657,153.7141,143.2450,125.0527,130.6590,113.5526,97.5064,93.3730,104.8951,104.7484,114.5666,113.8982,132.5180,67.6533,105.3199,132.4163,130.2946,126.0476,135.8761,97.2768,77.2767,100.0000,106.4424,100.1089,85.7046,92.8728,80.2190
"Miscellaneous steel  (NAICS = 3311,2pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2Z.A,IP.N3311A2Z.A,,,,,,,,,,,,,67.4107,81.3097,92.0699,61.8204,60.6600,58.3650,67.7412,75.4748,67.2186,73.5724,46.6822,53.3710,62.6439,60.0576,62.4544,76.1061,90.1945,88.4627,88.9515,84.7966,87.9550,92.4581,98.9854,102.7817,104.1419,109.3853,109.6169,112.2873,113.8183,100.4055,104.4409,113.0494,131.3971,115.5021,118.9505,119.4896,126.5833,83.9574,102.5513,110.8978,111.0136,110.8625,109.0155,99.1874,95.5933,100.0000,104.9417,99.1007,86.5569,93.8141,88.7811
"Alumina and aluminum production and processing  (NAICS = 3313); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3313.A,IP.G3313.A,,,,,,,,,,,,,97.1364,112.5338,108.0848,88.4659,102.5250,109.7257,116.2356,117.3176,115.7281,107.5496,86.0557,94.8503,98.4993,85.4377,85.8885,89.9338,96.7727,96.8858,100.0038,99.3755,99.7286,97.5834,100.5461,96.5187,98.1873,103.7323,109.2208,110.0463,102.1604,90.9878,97.6165,93.8840,99.2979,104.8182,103.4820,97.8325,90.5058,74.2551,89.7776,96.9295,100.9073,108.2926,107.1945,108.0586,106.9359,100.0000,106.0790,101.4941,91.8339,96.8260,95.9611
"Primary aluminum production  (NAICS = 331313pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N331313P.A,IP.N331313P.A,,,,,,,,,,,,,344.5813,412.6408,356.8379,348.8733,389.3731,414.1948,425.6258,426.3037,427.8811,380.0301,273.5923,325.5311,356.9384,249.9149,249.5756,289.8736,345.5193,360.9396,395.6443,414.2812,405.2761,376.8497,337.4970,311.4895,320.4653,317.6562,369.2984,361.8700,326.7415,267.9709,285.1702,265.1597,255.3427,224.9247,220.9353,229.2943,226.4541,184.7325,217.9727,285.0952,255.4127,253.8107,231.7633,249.6331,211.8089,100.0000,114.9571,120.0457,91.1227,115.0773,103.4970
